heuristica,n,m,replicacao,tempo_ns,iteracoes,makespan,parametro
SimulatedAnnealing, 391, 20, 391, 102568186, 539, 19921, 0
SimulatedAnnealing, 401, 20, 401, 108756395, 539, 20923, 0
SimulatedAnnealing, 411, 20, 411, 113264771, 539, 21932, 0
SimulatedAnnealing, 421, 20, 421, 119504746, 539, 22996, 0
SimulatedAnnealing, 431, 20, 431, 127443139, 539, 24069, 0
SimulatedAnnealing, 441, 20, 441, 136828585, 539, 25203, 0
SimulatedAnnealing, 451, 20, 451, 144177240, 539, 26365, 0
SimulatedAnnealing, 461, 20, 461, 150805454, 539, 27486, 0
SimulatedAnnealing, 471, 20, 471, 157454928, 539, 28653, 0
SimulatedAnnealing, 481, 20, 481, 165450156, 539, 29902, 0
SimulatedAnnealing, 491, 20, 491, 173060862, 539, 31189, 0
SimulatedAnnealing, 501, 20, 501, 183064899, 539, 32399, 0
SimulatedAnnealing, 511, 20, 511, 191808240, 539, 33647, 0
SimulatedAnnealing, 521, 20, 521, 200188311, 539, 34945, 0
SimulatedAnnealing, 531, 20, 531, 210587809, 539, 36352, 0
SimulatedAnnealing, 541, 20, 541, 221610546, 539, 37719, 0
SimulatedAnnealing, 551, 20, 551, 229267129, 539, 39094, 0
SimulatedAnnealing, 561, 20, 561, 241132908, 539, 40527, 0
SimulatedAnnealing, 571, 20, 571, 250552989, 539, 41949, 0
SimulatedAnnealing, 581, 20, 581, 262322427, 539, 43464, 0
SimulatedAnnealing, 591, 20, 591, 273069787, 539, 44921, 0
SimulatedAnnealing, 601, 20, 601, 282419917, 539, 46463, 0
SimulatedAnnealing, 611, 20, 611, 295235017, 539, 47982, 0
SimulatedAnnealing, 621, 20, 621, 310037445, 539, 49676, 0
SimulatedAnnealing, 631, 20, 631, 321457276, 539, 51326, 0
SimulatedAnnealing, 641, 20, 641, 333112301, 539, 53044, 0
SimulatedAnnealing, 651, 20, 651, 340059082, 539, 54718, 0
SimulatedAnnealing, 661, 20, 661, 356360261, 539, 56530, 0
SimulatedAnnealing, 671, 20, 671, 368437537, 539, 58631, 0
SimulatedAnnealing, 681, 20, 681, 378988880, 539, 60625, 0
SimulatedAnnealing, 691, 20, 691, 403753274, 539, 62542, 0
SimulatedAnnealing, 701, 20, 701, 404485007, 539, 64747, 0
SimulatedAnnealing, 711, 20, 711, 416029033, 539, 67127, 0
SimulatedAnnealing, 721, 20, 721, 431961560, 539, 70511, 0
SimulatedAnnealing, 731, 20, 731, 489882092, 539, 74013, 0
SimulatedAnnealing, 741, 20, 741, 458831085, 539, 77384, 0
SimulatedAnnealing, 751, 20, 751, 545964758, 539, 81121, 0
SimulatedAnnealing, 761, 20, 761, 550820526, 539, 84860, 0
SimulatedAnnealing, 771, 20, 771, 498638238, 539, 89059, 0
SimulatedAnnealing, 781, 20, 781, 511866703, 539, 93644, 0
SimulatedAnnealing, 791, 20, 791, 527439226, 539, 98280, 0
SimulatedAnnealing, 801, 20, 801, 535903253, 539, 104287, 0
SimulatedAnnealing, 811, 20, 811, 558914098, 539, 110012, 0
SimulatedAnnealing, 821, 20, 821, 569867867, 539, 116355, 0
SimulatedAnnealing, 831, 20, 831, 585874894, 539, 122415, 0
SimulatedAnnealing, 841, 20, 841, 601708426, 539, 128518, 0
SimulatedAnnealing, 851, 20, 851, 627980249, 539, 134758, 0
SimulatedAnnealing, 861, 20, 861, 672870066, 539, 141689, 0
SimulatedAnnealing, 871, 20, 871, 681347419, 539, 149590, 0
SimulatedAnnealing, 881, 20, 881, 684470999, 539, 157716, 0
SimulatedAnnealing, 891, 20, 891, 717796224, 539, 165788, 0
SimulatedAnnealing, 901, 20, 901, 774289839, 539, 174541, 0
SimulatedAnnealing, 911, 20, 911, 789827967, 539, 182695, 0
SimulatedAnnealing, 921, 20, 921, 782063702, 539, 191261, 0
SimulatedAnnealing, 931, 20, 931, 797925216, 539, 200639, 0
SimulatedAnnealing, 941, 20, 941, 803833740, 539, 209656, 0
SimulatedAnnealing, 951, 20, 951, 842153273, 539, 219049, 0
SimulatedAnnealing, 961, 20, 961, 854370571, 539, 229146, 0
SimulatedAnnealing, 971, 20, 971, 868748673, 539, 239637, 0
SimulatedAnnealing, 981, 20, 981, 888826287, 539, 251315, 0
SimulatedAnnealing, 991, 20, 991, 907707816, 539, 262995, 0
