heuristic,machines,tasks,makespan,time_nano,iterations,param
LocalSearchBest,10,100,2492,5550,36,
LocalSearchBest,10,100,2211,7514,36,
LocalSearchBest,10,100,2084,4949,34,
LocalSearchBest,10,100,2409,14427,34,
LocalSearchBest,10,100,2249,5661,37,
LocalSearchBest,10,100,2411,5521,38,
LocalSearchBest,10,100,2269,5600,37,
LocalSearchBest,10,100,2168,5179,36,
LocalSearchBest,10,100,2392,5230,33,
LocalSearchBest,10,100,2566,5190,34,
LocalSearchBest,10,100,2602,5159,33,
LocalSearchBest,10,100,2323,5680,37,
LocalSearchBest,10,100,2194,5480,36,
LocalSearchBest,10,100,2319,5550,37,
LocalSearchBest,10,100,2249,4769,31,
LocalSearchBest,10,100,2294,5711,38,
LocalSearchBest,10,100,2331,7053,34,
LocalSearchBest,10,100,2686,5401,37,
LocalSearchBest,10,100,2376,7474,35,
LocalSearchBest,10,100,2860,5360,35,
LocalSearchBest,10,100,2398,5360,36,
LocalSearchBest,20,90,2065,6802,35,
LocalSearchBest,20,90,2032,8045,35,
LocalSearchBest,20,90,2169,6222,35,
LocalSearchBest,20,90,2000,5671,33,
LocalSearchBest,20,90,2088,5330,28,
LocalSearchBest,20,90,2342,5710,32,
LocalSearchBest,20,90,1943,5500,30,
LocalSearchBest,20,90,2216,5851,32,
LocalSearchBest,20,90,1873,7774,31,
LocalSearchBest,20,90,2043,6171,33,
LocalSearchBest,20,90,2238,5671,33,
LocalSearchBest,20,90,1967,5821,33,
LocalSearchBest,20,90,2127,5320,29,
LocalSearchBest,20,90,2033,6181,32,
LocalSearchBest,20,90,2425,5530,31,
LocalSearchBest,20,90,2174,7834,31,
LocalSearchBest,20,90,2085,5701,30,
LocalSearchBest,20,90,1842,5901,32,
LocalSearchBest,20,90,2095,5590,31,
LocalSearchBest,20,90,2058,6272,34,
LocalSearchBest,20,90,2316,5460,30,
LocalSearchBest,20,90,1907,5661,31,
LocalSearchBest,20,90,2205,5580,32,
LocalSearchBest,20,90,2109,5801,30,
LocalSearchBest,20,90,2397,7565,32,
LocalSearchBest,20,90,2181,5370,30,
LocalSearchBest,20,90,2055,5701,31,
LocalSearchBest,20,90,2144,5571,30,
LocalSearchBest,20,90,2057,5259,30,
LocalSearchBest,20,90,2319,6332,34,
LocalSearchBest,20,90,2076,5560,30,
LocalSearchBest,20,90,2039,8186,34,
LocalSearchBest,20,90,2035,5320,28,
LocalSearchBest,20,90,2033,6953,29,
LocalSearchBest,20,90,2017,6151,34,
LocalSearchBest,20,90,2126,6071,32,
LocalSearchBest,20,90,2107,6202,35,
LocalSearchBest,20,90,1975,4919,28,
LocalSearchBest,20,90,2135,5440,30,
LocalSearchBest,20,90,2296,5740,32,
LocalSearchBest,20,90,2032,7605,32,
LocalSearchBest,20,90,2139,5581,29,
LocalSearchBest,20,90,2106,6141,33,
LocalSearchBest,20,90,2214,6081,35,
LocalSearchBest,20,90,2082,5471,30,
LocalSearchBest,20,90,2191,5891,32,
LocalSearchBest,20,90,2036,5030,28,
LocalSearchBest,20,90,2166,5390,29,
LocalSearchBest,20,90,2134,6091,35,
LocalSearchBest,20,90,1809,7104,33,
LocalSearchBest,20,90,2111,5971,33,
LocalSearchBest,20,90,2054,5791,34,
LocalSearchBest,20,90,1967,6172,34,
LocalSearchBest,20,90,2114,5300,29,
LocalSearchBest,20,90,2251,5761,31,
LocalSearchBest,20,90,2279,5600,30,
LocalSearchBest,20,90,2264,8355,35,
LocalSearchBest,20,90,2089,5500,29,
LocalSearchBest,20,90,1900,5671,29,
LocalSearchBest,20,90,2250,6352,36,
LocalSearchBest,20,90,2011,5691,30,
LocalSearchBest,20,90,2251,5681,31,
LocalSearchBest,20,90,2152,6091,34,
LocalSearchBest,20,90,1991,5490,30,
LocalSearchBest,20,90,1787,5280,30,
LocalSearchBest,20,90,2076,8446,33,
LocalSearchBest,20,90,2070,5310,30,
LocalSearchBest,20,90,2133,6332,35,
LocalSearchBest,20,90,2314,5881,34,
LocalSearchBest,20,90,2233,5741,32,
LocalSearchBest,20,90,2253,5320,30,
LocalSearchBest,20,90,2102,5922,32,
LocalSearchBest,20,90,1903,8205,34,
LocalSearchBest,20,90,2284,5831,33,
LocalSearchBest,20,90,2268,5510,31,
LocalSearchBest,20,90,2140,6041,35,
LocalSearchBest,20,90,2084,5531,31,
LocalSearchBest,20,90,2175,6021,33,
LocalSearchBest,20,90,2057,5440,30,
LocalSearchBest,20,90,2202,5891,34,
LocalSearchBest,20,90,2235,5621,30,
LocalSearchBest,20,90,2333,8025,33,
LocalSearchBest,20,90,2071,5661,32,
LocalSearchBest,20,90,1859,5751,33,
LocalSearchBest,20,90,2136,5229,29,
LocalSearchBest,20,90,1931,4940,28,
LocalSearchBest,20,90,1959,5751,32,
LocalSearchBest,20,90,2040,5701,31,
LocalSearchBest,20,90,1876,7424,30,
LocalSearchBest,20,90,1980,4940,28,
LocalSearchBest,20,90,2049,6112,33,
LocalSearchBest,20,90,2046,6312,34,
LocalSearchBest,20,90,2342,5220,30,
LocalSearchBest,20,90,2047,5951,33,
LocalSearchBest,20,90,1954,5781,33,
LocalSearchBest,20,90,2216,6953,28,
LocalSearchBest,20,90,2011,5821,34,
LocalSearchBest,20,90,2274,6011,34,
LocalSearchBest,20,90,2186,5661,32,
LocalSearchBest,20,90,2119,5530,32,
LocalSearchBest,20,400,9475,33032,116,
LocalSearchBest,20,400,10117,36899,125,
LocalSearchBest,20,400,9571,33483,120,
LocalSearchBest,20,400,9455,33452,120,
LocalSearchBest,20,400,10227,38603,132,
LocalSearchBest,20,400,9510,34555,124,
LocalSearchBest,20,400,10005,34514,121,
LocalSearchBest,20,400,9440,34996,117,
LocalSearchBest,20,400,10250,34846,124,
LocalSearchBest,20,400,9725,36048,123,
LocalSearchBest,20,400,9706,34064,121,
LocalSearchBest,20,400,9665,34374,123,
LocalSearchBest,20,400,9741,35226,125,
LocalSearchBest,20,400,9447,34134,116,
LocalSearchBest,20,400,9501,33162,118,
LocalSearchBest,20,400,9728,33533,119,
LocalSearchBest,20,400,10263,82645,128,
LocalSearchBest,20,400,9826,34083,121,
LocalSearchBest,20,400,9465,33483,120,
LocalSearchBest,20,400,9620,36598,125,
LocalSearchBest,20,400,9882,36228,127,
LocalSearchBest,20,400,10175,36519,125,
LocalSearchBest,20,400,10271,35386,126,
LocalSearchBest,20,400,10276,36098,124,
LocalSearchBest,20,400,9582,33613,122,
LocalSearchBest,20,400,10288,37551,126,
LocalSearchBest,20,400,9417,33593,119,
LocalSearchBest,20,400,9605,34224,121,
LocalSearchBest,20,400,9830,34274,121,
LocalSearchBest,20,400,9799,35196,121,
LocalSearchBest,20,400,9459,33853,120,
LocalSearchBest,20,400,9916,35066,124,
LocalSearchBest,20,400,10002,35316,121,
LocalSearchBest,20,400,9965,35356,126,
LocalSearchBest,20,400,9593,34195,120,
LocalSearchBest,20,400,9888,35046,124,
LocalSearchBest,20,400,9647,33472,118,
LocalSearchBest,20,400,9620,34225,121,
LocalSearchBest,20,400,9885,38051,124,
LocalSearchBest,20,400,9806,34564,121,
LocalSearchBest,20,400,10233,35547,127,
LocalSearchBest,20,400,9734,33973,119,
LocalSearchBest,20,400,9733,33643,119,
LocalSearchBest,20,400,9684,34215,119,
LocalSearchBest,20,400,9708,35637,122,
LocalSearchBest,20,400,9228,33913,120,
LocalSearchBest,20,400,9280,34044,120,
LocalSearchBest,20,400,10183,38272,125,
LocalSearchBest,20,400,10223,35527,128,
LocalSearchBest,20,400,9685,32822,117,
LocalSearchBest,20,400,9612,35697,121,
LocalSearchBest,20,400,9965,36599,123,
LocalSearchBest,20,400,9803,33583,121,
LocalSearchBest,20,400,9535,37219,124,
LocalSearchBest,20,400,9636,34445,121,
LocalSearchBest,20,400,9754,34995,123,
LocalSearchBest,20,400,10096,38111,127,
LocalSearchBest,20,400,9474,34345,122,
LocalSearchBest,20,400,9624,34063,120,
LocalSearchBest,20,400,10256,37150,126,
LocalSearchBest,20,400,10094,35637,129,
LocalSearchBest,20,400,9802,37751,123,
LocalSearchBest,20,400,9517,34835,121,
LocalSearchBest,20,400,9970,34354,121,
LocalSearchBest,20,400,10230,37059,126,
LocalSearchBest,20,400,9682,33653,119,
LocalSearchBest,20,400,9819,34074,119,
LocalSearchBest,20,400,9468,35216,121,
LocalSearchBest,20,400,9840,34865,124,
LocalSearchBest,20,400,9853,34676,125,
LocalSearchBest,20,400,9551,35417,121,
LocalSearchBest,20,400,9760,34244,122,
LocalSearchBest,20,400,9611,33332,117,
LocalSearchBest,20,400,9520,34404,116,
LocalSearchBest,20,400,9421,35987,125,
LocalSearchBest,20,400,9498,34926,124,
LocalSearchBest,20,400,10233,34916,124,
LocalSearchBest,20,400,9588,35486,121,
LocalSearchBest,20,400,9809,35246,126,
LocalSearchBest,20,400,10345,37200,126,
LocalSearchBest,20,400,9867,35676,127,
LocalSearchBest,20,400,9419,33443,120,
LocalSearchBest,20,400,9721,36047,122,
LocalSearchBest,20,400,9727,35767,127,
LocalSearchBest,20,400,9344,32782,115,
LocalSearchBest,20,400,10396,45155,126,
LocalSearchBest,20,400,10021,34655,123,
LocalSearchBest,20,400,9705,34835,125,
LocalSearchBest,20,400,9447,36388,125,
LocalSearchBest,20,400,9916,34394,124,
LocalSearchBest,20,400,9734,34324,120,
LocalSearchBest,20,400,9958,36268,122,
LocalSearchBest,20,400,10183,36388,130,
LocalSearchBest,20,400,9099,32490,115,
LocalSearchBest,20,400,10010,36960,126,
LocalSearchBest,20,400,9568,34214,121,
LocalSearchBest,20,400,9993,38442,128,
LocalSearchBest,20,400,9131,30738,111,
LocalSearchBest,20,400,9917,34465,121,
LocalSearchBest,20,400,10050,33613,119,
LocalSearchBest,50,354,8861,41568,112,
LocalSearchBest,50,354,9068,43101,114,
LocalSearchBest,50,354,8742,39424,108,
LocalSearchBest,50,354,9433,43972,111,
LocalSearchBest,50,354,8868,41357,114,
LocalSearchBest,50,354,8133,36980,102,
LocalSearchBest,50,354,8487,40096,111,
LocalSearchBest,50,354,8965,39875,109,
LocalSearchBest,50,354,8248,39724,106,
LocalSearchBest,50,354,8900,39614,109,
LocalSearchBest,50,354,8614,41418,108,
LocalSearchBest,50,354,8569,40647,111,
LocalSearchBest,50,354,8507,39785,104,
LocalSearchBest,50,354,9016,40426,112,
LocalSearchBest,50,354,8467,38622,103,
LocalSearchBest,50,354,8710,38983,105,
LocalSearchBest,50,354,9003,41177,111,
LocalSearchBest,50,354,8436,41418,110,
LocalSearchBest,50,354,8644,38382,106,
LocalSearchBest,50,354,8687,49352,111,
LocalSearchBest,50,354,8661,40757,113,
LocalSearchBest,50,354,8660,39885,110,
LocalSearchBest,50,354,8615,28884,111,
LocalSearchBest,50,354,8494,22502,108,
LocalSearchBest,50,354,8911,23123,109,
LocalSearchBest,50,354,8214,22092,106,
LocalSearchBest,50,354,9111,24626,114,
LocalSearchBest,50,354,8430,21510,104,
LocalSearchBest,50,354,8496,23495,108,
LocalSearchBest,50,354,8892,23203,112,
LocalSearchBest,50,354,9011,23194,112,
LocalSearchBest,50,354,8287,22082,106,
LocalSearchBest,50,354,8420,22562,109,
LocalSearchBest,50,354,9158,23184,111,
LocalSearchBest,50,354,8753,22603,109,
LocalSearchBest,50,354,8867,23984,111,
LocalSearchBest,50,354,8374,21841,105,
LocalSearchBest,50,354,8585,22923,105,
LocalSearchBest,50,354,8153,22402,109,
LocalSearchBest,50,354,8899,22422,108,
LocalSearchBest,50,354,8572,22142,105,
LocalSearchBest,50,354,8596,23084,110,
LocalSearchBest,50,354,8993,24115,111,
LocalSearchBest,50,354,8887,22121,107,
LocalSearchBest,50,354,8991,24476,113,
LocalSearchBest,50,354,8325,22412,108,
LocalSearchBest,50,354,8904,24055,110,
LocalSearchBest,50,354,8742,22492,108,
LocalSearchBest,50,354,8696,22532,109,
LocalSearchBest,50,354,8745,22783,109,
LocalSearchBest,50,354,8757,23454,113,
LocalSearchBest,50,354,8940,24266,112,
LocalSearchBest,50,354,8699,22232,106,
LocalSearchBest,50,354,8690,24125,110,
LocalSearchBest,50,354,8686,22713,107,
LocalSearchBest,50,354,8566,22172,106,
LocalSearchBest,50,354,8687,22473,109,
LocalSearchBest,50,354,8495,22753,110,
LocalSearchBest,50,354,9110,24216,116,
LocalSearchBest,50,354,9145,22763,111,
LocalSearchBest,50,354,8067,22262,102,
LocalSearchBest,50,354,8854,23164,112,
LocalSearchBest,50,354,8662,26039,110,
LocalSearchBest,50,354,8388,22613,109,
LocalSearchBest,50,354,8618,23103,111,
LocalSearchBest,50,354,8985,24065,112,
LocalSearchBest,50,354,9019,22362,107,
LocalSearchBest,50,354,8867,24476,112,
LocalSearchBest,50,354,9026,23794,115,
LocalSearchBest,50,354,8288,25027,109,
LocalSearchBest,50,354,8414,21951,104,
LocalSearchBest,50,354,8323,22051,105,
LocalSearchBest,50,354,8728,21891,105,
LocalSearchBest,50,354,8358,22312,108,
LocalSearchBest,50,354,8701,23674,107,
LocalSearchBest,50,354,8086,22662,109,
LocalSearchBest,50,354,8975,23344,107,
LocalSearchBest,50,354,8591,21941,105,
LocalSearchBest,50,354,8763,22682,110,
LocalSearchBest,50,354,8480,22012,105,
LocalSearchBest,50,354,8457,23113,112,
LocalSearchBest,50,354,8686,22833,110,
LocalSearchBest,50,354,8560,23104,110,
LocalSearchBest,50,354,8370,25948,112,
LocalSearchBest,50,354,8794,22803,110,
LocalSearchBest,50,354,8808,22613,107,
LocalSearchBest,50,354,8396,22371,107,
LocalSearchBest,50,354,9122,23705,114,
LocalSearchBest,50,354,8883,23424,114,
LocalSearchBest,50,354,9010,23645,112,
LocalSearchBest,50,354,8502,22903,104,
LocalSearchBest,50,354,8530,23114,109,
LocalSearchBest,50,354,8739,22893,106,
LocalSearchBest,50,354,8354,21921,104,
LocalSearchBest,50,354,8641,23384,112,
LocalSearchBest,50,354,8679,22843,109,
LocalSearchBest,50,354,8449,23354,113,
LocalSearchBest,50,354,8536,23915,111,
LocalSearchBest,50,354,8464,22342,107,
LocalSearchBest,50,354,8956,24486,111,
LocalSearchBest,50,2500,61853,510037,743,
LocalSearchBest,50,2500,60825,500729,732,
LocalSearchBest,50,2500,61674,509426,741,
LocalSearchBest,50,2500,61259,501822,736,
LocalSearchBest,50,2500,61229,505208,735,
LocalSearchBest,50,2500,61207,506009,736,
LocalSearchBest,50,2500,62103,514044,748,
LocalSearchBest,50,2500,61193,508804,739,
LocalSearchBest,50,2500,62290,509736,740,
LocalSearchBest,50,2500,61251,503995,740,
LocalSearchBest,50,2500,62101,514595,746,
LocalSearchBest,50,2500,62479,515166,753,
LocalSearchBest,50,2500,61643,506410,730,
LocalSearchBest,50,2500,61209,527519,728,
LocalSearchBest,50,2500,61898,512090,743,
LocalSearchBest,50,2500,63162,509566,746,
LocalSearchBest,50,2500,63194,540314,761,
LocalSearchBest,50,2500,61945,507041,743,
LocalSearchBest,50,2500,61911,505779,741,
LocalSearchBest,50,2500,63531,514044,752,
LocalSearchBest,50,2500,61076,509676,735,
LocalSearchBest,50,2500,61750,508083,746,
LocalSearchBest,50,2500,61280,518593,738,
LocalSearchBest,50,2500,60955,502413,735,
LocalSearchBest,50,2500,62153,510598,749,
LocalSearchBest,50,2500,61147,503935,737,
LocalSearchBest,50,2500,63160,518763,751,
LocalSearchBest,50,2500,60910,504656,740,
